0,Car_ID,Year,Make,Model
1,128,2010,Infiniti,G37
2,124,2015,Jeep,Wrangler
3,15,2014,Audi,S4
4,113,2012,Acura,Tsx sportwagon
5,83,2014,Honda,Accord
6,112,2008,Acura,TL
7,65,2009,Honda,Fit
8,31,2007,Honda,Fit
9,114,2015,Acura,TLX
10,91,2010,Mitsu,Lancer
11,216,2007,Chrystler,300
12,126,2010,Volkswagen,Eos
13,37,2016,Honda,Civic 1.5t
14,228,2010,Nissan,370
15,175,2006,Honda,Civic
16,127,2013,Acura,Tsx
17,63,2010,Honda,Civic
18,161,2012,Nissan,370z
19,153,2011,Nissan,370
20,180,2011,Volkswagen,Gti
21,57,2015,Scion,Frs
22,25,2012,Mercedes,C250
23,106,2007,Acura,Tl type s
24,36,2016,Subaru,WRX
25,178,2009,Honda,Oddesy
26,103,2010,Acura,Tsx
27,39,2011,Honda,Civic
28,84,2012,Mercedes,Cl63amg
29,33,2015,Subaru,Sti
30,30,2012,Hyundai,Celoster
31,1051,2006,Acura,Tsx
32,123,2006,Lexus,Sc430
33,158,2007,Nissan,350z
34,218,2010,Chevy,Camaro
35,41,2012,Acura,Tsx
36,38,2017,Hyundai,Elantra sport
37,21,2009,Subaru,WRX
38,23,1998,Subaru,Legacy
39,48,2015,Acura,TLX
40,12,1990,Nissan,240
41,35,2016,Honda,Civic
42,53,2013,Subaru,WRX
43,110,2011,Toyota,Camry
44,142,1993,Toyota,Supra
45,156,2014,Volkswagen,Gli
46,115,2001,Honda,Crv
47,137,2017,Ford,Focus rs
48,37,2015,Subaru,Sti
49,6,2016,Volkswagen,Golf r
50,43,2011,Toyota,4 Runner
51,225,2016,Acura,TLX
52,134,2013,Subaru,WRX
53,189,2012,Toyota,Fj cruiser
54,170,2014,Chevy,Cruze
55,51,2015,Subaru,WRX
56,5,2003,Acura,Rsx
57,211,2004,Acura,Tsx
58,88,2008,Honda,Accord
59,52,2007,Mazda,Speed 3
60,104,2014,Civic coupe,Si
61,232,2018,Subaru,WRX
62,140,1995,Mitsu,Evo8
63,Showcar,2014,Nissan,Gtr
64,8,1991,Nissan,Skyline
65,9,1996,Nissan,240
66,118,1993,Honda,Civic
67,121,2012,Acura,TL
68,122,2011,Infinity,M37s
69,153,2017,Subaru,Brz
70,85,2017,Honda,Accord
71,56,2009,Volkswagen,Jetta
72,45,2006,Acura,TL
73,49,1997,Acura,Integra
74,207,1993,Honda,Civic eG
75,222,2015,Lexus,Is250
76,19,2001,Mitsub,Evo7
77,176,2014,Mitsu,Lancer
78,44,2018,Honda,Civic si
79,145,1990,Volkswagen,Gti
80,20,2009,Infinity,G37
81,18,2015,Audi,S3
82,99,2014,Civic,Si
83,179,2004,Volkswagen,R32
84,78,2015,Mazda,6
85,200,2016,Subaru,WRX
86,162,2014,Nissan,370z
87,17,2016,Mercedes,C43
88,10,2001,Nissan,S15
89,24,2013,Subaru,BRZ
90,4341,1992,Nissan,Rps13
91,46,2008,Volkswagen,R32
92,92,2017,Hyundai,Elantra sport
93,7,2014,Nissan,Sentra
94,11,1991,Nissan,Skyline
95,120,2014,Ford,Focus st
96,181,2003,Volkswagen,Gti
97,144,2016,Volkswagen,Gti
98,116,2008,Audi,A4
99,238,1982,Volkswagen,Rabbit
100,59,2012,Volkswagen,Golf
101,187,2007,Subaru,Legacy
102,242,2014,Nissan,Maxima
103,219,2016,Ford,Focus rs
104,141,1993,Mazda,Miata
105,114,2010,Volkswagen,Gti
106,98,2012,Benz,C63
107,14,1990,Nissan,Skyline
108,130,2016,Honda,Civic si
109,81,2016,Volkswagen,GTI
110,241,2007,Toyota,Camry
111,22,2007,Honda,Civic
112,2,2016,Bmw,M2
113,93,2005,Acura,TL
114,163,2013,Mitsu,Ralliart
115,150,2006,Nissan,350z
116,172,2014,Bmw,4
117,100,2006,Volvo,S60r
118,230,2004,Acura,Tsx
119,235,2013,Scion,Frs
120,182,2012,Volkswagen,Cc
121,167,2016,Ford,Mystang
122,226,2008,Honda,Accord
123,34,2010,Honda,Fit
124,79,1993,Mazda,Miata
125,Vip,2008,Volkswagen,Gli
126,89,2014,Honda,Civic si
127,183,2005,Volkswagen,Jetta
128,193,2014,Nissan,Ssntra
129,220,2004,Audi,A4
130,67,2015,Subaru,Sti
131,59,2007,Honda,Civic
132,186,2012,Volkswagen,Gli
133,159,2013,Hyundai,Gen coupe
134,108,2013,Audi,S4
135,95,2004,Infiniti,G35
136,76,2005,Subaru,Sti
137,177,2005,Volkswagen,Jetta gli
138,190,1995,Lexus,Sc300
139,237,1987,Volkswagen,Jetta
140,94,2004,Volkswagen,Gti
141,96,2017,Volkswagen,Gti
142,138,1990,Mazda,Miata
143,68,2013,Nissan,Altima
144,243,2008,Toyota,Matrix
145,16,2008,Nissan,350z
146,102,2015,Honda,Accord
147,111,2007,Bmw,328i
148,69,2018,Subaru,WRX
149,74,2015,Honda,Accord
150,86,1996,Volkswagen,Jetta
151,184,2010,Volkswagen,Cc
152,185,2013,Volkswagen,Jett
153,28,1995,Bmw,318xi
154,42,2001,Dodge,Viper
155,134,2012,Subaru,WRX
156,187,2007,Subaru,Legacy
157,212,2001,Lexus,Is300
158,71,2008,Acura,TL
159,64,2004,Subaru,Forester
160,75,2012,Subaru,WRX
161,72,2016,Civic,Si
162,66,2010,Volkswagen,Gti
163,174,2006,Acura,Rsx
164,197,2010,Audi,A4
165,101,2014,Honda,Civic
166,70,2014,Honda,Civic
167,0,2015,Chevy,Camaro
